Hotel Name,Adress,City&State,Zip Code,Room counts,links
Casa Del Mar Beachfront Suites Onsite Team,6102 Seawall Blvd," Galveston, TX", 77551,58 rooms,https://www.hotels.com/ho230172/casa-del-mar-beachfront-suites-onsite-team-galveston-united-states-of-america/?chkin=2023-01-11&amp;chkout=2023-01-12&amp;x_pwa=1&amp;rfrr=HSR&amp;pwa_ts=1672201450871&amp;referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&amp;useRewards=false&amp;rm1=a2&amp;regionId=1341&amp;destination=Galveston%2C+Texas%2C+United+States+of+America&amp;destType=MARKET&amp;trackingData=AAAAAQAAAAEAAAAQGCE0FSLT2vflF5zzTaGzMn52l0wKLVzr0I5FJxoWFauLKizPE-a1ivhngAy2sMpWbHAJpPj2J0EePYc7lsWHkkrbsxRo_M-gayAPeI1-_g1GNNCNXb9cn2oB79YiYT0_gHmq5dPN9dhey17bZRedhd6OwFs_0FdWRWLNGUBVQOrfy2roGBxrRAflUAcTMXuqCpZyZCWMlxjSU5YRxDa7vJaSFShlPvyZpvhpLA-Q03_2Jy66Suz0Q7Bajsd7abFwdv6jJ-6L5C0VdTOLJya45ucUt46L6HwRccLRPxhEJcsYYN0FCQM3IQJgL9FgXumf2lc2ULkWw24m99ALRgf5mBdDwRIUbEgR-aSAV6sH85Mu9kCSmzh7bSkRlKyZl2VLNM_EpY_eHTdWIGVMIb1CjIUU5rkpuvyR0Agz6duyznhrm6z1lqINOu6cMeBoAtWPyPUTA7qXRVoQmlFlZEDGmUIjksImJL2Rt21t9GAPhXNqnEM7pG8hLBZv90_kqtthI8_1i_v4p6_PWfs0pgwd0HoFDDpv6cslfLZ6te296meUGAjCATpJAye709P-AL0mCpjAggulSL2jP7cCLXPf1p7qYiiOOI11AR17IeKbGJrw7GW7QFdh1q7JWzq9sX_oxIdDFxgL7OgWU1AmnLigeYLyvkRF657H0QaQZmQZyA5P7v3taK7C9NemhwuTza5KLe5D81Et6gKDnfZPx6D__sPkPprDWIFhERMYnT77xrdLXIFMuh8SpY9w5vVD45QThGzQzqythjduvUoLs6TJIQVPxGGjm5e0y1WuVh0ONuD54eJUJeP7p6W9D--BL4Zy6qUmHRCTWYDZgkQET57sEUo9dfqI9qM6VyHk_KjAvEZkPQFwyv01uk9uEW09EJX6UWzxJZFSPLssBLNNKWaCjZvbARBP4gwmoAjZzOTtlqgetbP9JW6XbAioYmILWxbNk-XmNuo_ssiFg2owqq2Dx4u9pUpN5GvVHR4A7xQXGUdOQfDca05L9xfNuHq4_e7SckpW70z1lUxuh3Ik7-OsNpC5R1RkcJVteVAK0bgQerR09GKiUv-KGZUx9n5dKWlzDD6Ic6BXeJoTySMhYNq4Ad9kWaoWxJqqkX5CiLjysDPL660QuC94JKPA42Jn3JVuegSBa7HbgIWzvjW-qkqttnj_v7mlMS6BbzpA1SRUFJOYD1AVlbNG30XgmDpShQCNVez_Cn4XLKJMAHtsb4sH4O9DMSJXcIIBr7-dOIt1Wi2FCx0I_Gx7XUuLMSJbBLVOro4sbHaMKM-p_B-iaFb-m8nu4ZxAiw_hxLHkwD0xMz8UQeC6jro1_-pymXQLyynaVdDfVuNdFBcckPfrSH8rZZkS-24Bmy1MWUHUCQYNTOX9rTwDj6gOjGgCi7daWA0nxsjoGz0ivo85_aywXb_q4VQ8BMCPKuLIkyDfj5gxz_vtDTgaSrSjMdKJT-55xnDfHe-olKpAHZrXyMBvhAxV1lSB9xa1U7NVwUxSKUC_AdqRSoiGobA3lzwNrGJn6pLCquJScq4k6_tC5zumdvjgI0kht8jdoRa1BEmo1VbSWxJKQ9SO9Eiqu-y1TNQCXbuXV5lrJxBg_WHwXx07QI_TaSu3M8UElk3JDjCKtgWNeITCUVRjdlNvgZyk5wkPVGm7jWf_AgHR5OSNASAKvXvvrjn2ZfeGkmMobDF238kC2ODvWk4VJihLMy5jebOhd7VxSmRpbjKBhCyeVjGBuRsgS73RTNHxi3vwIyVvvmZroO2b8TA1MZSFhLEKhZ4hR6SLfk1C1oKaEAy-WcTJ_TiEAy3xFi836UB_HwbSqIbLB_XzDvMVX-o-rYvKvUmb8Dem5OHLRoukQGmdNy2vjDsvlfjg6Z85UYu7p8gFECqFIS46_I8loLfzq-5h_TCBr1opjZbOlysdcU83xf1dZREvZVUf8BsbMYy5xQyeCgfbNdUC9vvRvTDpE7jZIWL55-3c7HF5wphNyewmgohyaCT0ix5jzDGhLbg0XgR-SEQG2UU6ju2S-u679ACV3Z8EqTn1ATemxS-qrh4-kpjneq6zvoW2I5Z2SaI-Z8lY9HapTgizDBPhNfK7IZc9CXL3RLD0TwZJaocpGzQplqPJJUD0ku0qhZ59hzF-aQPsFvjX7sIx2eu8-C1UJ_fFVK628j9rhlXEr6FMojITTdh2m-em8SO4RB-9Z6Zn2dZtliG8dGqipxLBTCIMOPJ3S6Zqvi2iq2-DKRtrel5xtpZIOTZao8Tsc6QxyBo6y0On6bZCV_7Wm-mdVFyRFljr9gotvnqnxPBNu3MtOSTsYD43B3TCsuE20eIetx3pH276n9Gnnw8Y2_IjsdJBDcgtkrWNzEFfEy4rXc-GDoJdx5AxESjG9U2qTrUkcP9eJa6V_GTXPRDoFHp_W-HT0J-5BTIwASraMdK3tROeq85084zoNMX31eF4YPliUFw6CB8uxYVHUlDgt_PA5U6khnZH5Iy3SfgflceUUafAOL-XeoDk5wLE42yA68SJu93uRXERq-h49FOvZExf78frKm22bdaHpm8OT8M-Ua3lSthQYFLo-hzuwBm3ukvaFtGsqZ3-E12H8Y4%3D&amp;rank=2&amp;testVersionOverride=Buttercup%2C45803
Clarion Pointe Galveston Seawall,2300 Seawall Blvd," Galveston, TX", 77550,125 rooms,"https://www.hotels.com/ho110882/clarion-pointe-galveston-united-states-of-america/?chkin=2023-01-11&amp;chkout=2023-01-12&amp;x_pwa=1&amp;rfrr=HSR&amp;pwa_ts=1672201450864&amp;referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&amp;useRewards=false&amp;rm1=a2&amp;regionId=1341&amp;destination=Galveston%2C+Texas%2C+United+States+of+America&amp;destType=MARKET&amp;sort=RECOMMENDED&amp;top_dp=59&amp;top_cur=USD&amp;userIntent=&amp;selectedRoomType=315658393&amp;selectedRatePlan=388449923&amp;expediaPropertyId=12142"""
"Holiday Inn Express Hotel & Suites Galveston West-Seawall, an IHG Hotel",8628 Seawall Blvd," Galveston, TX", 77554,81 rooms,"https://www.hotels.com/ho312320/holiday-inn-express-hotel-suites-galveston-west-seawall-an-ihg-hotel-galveston-united-states-of-america/?chkin=2023-01-11&amp;chkout=2023-01-12&amp;x_pwa=1&amp;rfrr=HSR&amp;pwa_ts=1672201450861&amp;referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&amp;useRewards=false&amp;rm1=a2&amp;regionId=1341&amp;destination=Galveston%2C+Texas%2C+United+States+of+America&amp;destType=MARKET&amp;sort=RECOMMENDED&amp;top_dp=88&amp;top_cur=USD&amp;userIntent=&amp;selectedRoomType=387739&amp;selectedRatePlan=380200115&amp;expediaPropertyId=2392276"""
Galveston Beach Hotel,8710 Seawall Blvd," Galveston, TX", 77554,120 rooms,"https://www.hotels.com/ho219166/galveston-beach-hotel-galveston-united-states-of-america/?chkin=2023-01-11&amp;chkout=2023-01-12&amp;x_pwa=1&amp;rfrr=HSR&amp;pwa_ts=1672201450863&amp;referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&amp;useRewards=false&amp;rm1=a2&amp;regionId=1341&amp;destination=Galveston%2C+Texas%2C+United+States+of+America&amp;destType=MARKET&amp;sort=RECOMMENDED&amp;top_dp=59&amp;top_cur=USD&amp;userIntent=&amp;selectedRoomType=212110338&amp;selectedRatePlan=388812556&amp;expediaPropertyId=1045536"""
WoodSpring Suites Texas City,11444 32nd Ave N," Texas City, TX", 77591,124 rooms,https://www.hotels.com/ho524695/woodspring-suites-texas-city-texas-city-united-states-of-america/?chkin=2023-01-11&amp;chkout=2023-01-12&amp;x_pwa=1&amp;rfrr=HSR&amp;pwa_ts=1672201450873&amp;referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&amp;useRewards=false&amp;rm1=a2&amp;regionId=1341&amp;destination=Galveston%2C+Texas%2C+United+States+of+America&amp;destType=MARKET&amp;trackingData=AAAAAQAAAAEAAAAQ5m6zWlnEzMQsWPhzNBYBKumI820i8WgiAqdKos2r1DOmiT8HN3Mvk6Fo82Rosqrjyi3BReSeWV57GPTzvQT3wI6qvWZu759HqFlQecBGr8puH7Zdq2PXIbtcz0UDdiyuFeDc1ZUqUECG0xYxacGvKuJmuC3FsEoKpcJru3pZfWp4fIvkKABoqY-hybtYepjdo7hz6uFnSvkeOgxQUrCrN0EWhtx2qdWA595vmc5_YdOa3-c82nePjVDQHW3n46NqlAD98YHC9aKyPETFitqhyprCQdQSyeLLSNgxrns78DRoihubFys8KvYWeTKQ-GhGeRSe0aVd6wtsXdo6sBt_vve6RsgBOFYF92FkjHqsPJBTmTa-YdaktGZfJavE9lgBXaLgbuDMm3MwyF1ah4SSsUcKc2D2hsnFc1FSeIKxqXvMn5FMIVxhu3UZYMz3ATd_4EqEoUSZSolqTBMq4P-Z6GOpK68Q1bQAVdxn8smIeFzUbzdXKF7_p-9f92DSW-Z2EIsbfihdhApARXAiWI4JiiQ8zjPlrE-qCnX-iHcxpCy_rVRxJzvM6emRQiM7KoDFz8NwIzfXqrqR7qTOkeRhm1afYKiJkkK-Vp30VBbAzAoVro41pk48UcOREvc331JDXMXp3X4Y0eVp1YsCKYqOvfdMEXc7I_Kg3GotU5TTJsyjBlJXrWVW6ptCnflKECFv2tsAUUSzG50clzK4xMtlFYr3cHkUJPF1pU8CSxrkf3w3h5BD5SGVTvYpRWPgHIN92FilXZWFBiFv1ISnrQ594mArFfNw17sXx0NB0z1rPYpGUl4Y5ATs4pYWEnXYjm8W2YOKsYxKKPSZZD7AdFXYPL2TuDGbXwJXfx2AHQeOm2iP9NVgxzmmOmwRxtumEyq9JvQyUtw1DF3smKhxyiE0mYA-sNsE52XfDHH3imQqXTZiBRvkNyYpO1p7yn8q8KuQYKS64Z_yKAurmawbb9mIxo3ah4wSHqDkl7K-Z2G6N1KOtbwvwSanKX0igYqfjs3iWph9zDCIbjtU4e3wQYFBKQw15RI4sDfZUlIAme-i0r_PPTCBTcNMrextPiOp2QN0DHCXzCV0DS_a5qwzTrJXodR72-ReICVGVdhmENbfrNbWJA5z9WagtwTaW4r960UoLh0PnQlGSNZFELk6K7e5N-D1TAHRZR29sH488uYD9wMOUF2-3oKj9q0GuGwEJosI9fpfSFvIYR4GPpNoMMwaq2LBF4i1lW88-O9lMB84DQSGtapa4qveMW8s9dmzqz4nLCmtoj96nXB3yJhYvY2vxKnpet68VV6wCvsR8M-tGda4No6wLgd1dibWk03hsW905IX2yQ2zxfakAKqZ1lxqytIfic_yD-sxCx__d_9SNYqDWxRS119LyeYCVi2CjN7pREjMtS_MRXiZX3gV57s4ycuapxhTs_MQkBIAf-rrnt13MTgd3WET7q6Jkz-nG5FrZqsbmuYnFEvRMHcugLHjYQLn63lKTOGCTzXcfCrVc6UbISh-n9AuALQ2oUWdhcPFVQDlU-Mc-KMnl23z9waVVReCcBLBj6-8ZNZiWzdlluq_xlNyZgdtuAdxtO6COfW2qo1Bri3lNy2uXayDTJ1GhaeoTyyla00CSDjYXJXX3K6ttbYQ5icXdhnia0zU_GnFD-eUSRcQOM0qan3N14osSszvJOU1FRm-DPwYe_01zrzXp8WVa0TgGqi8ThMcgCWugEm8Es-BFwP_ZqrUDTEimjoQYOZXy9QmZa17HYXDMEpF1xEHXWuXQoLzikFuINfixErZuh465n803JO0_HKgtPFPdIkno4b1s7ByEBQqLj7M4lavqJmAx5eaXVRQuEvLfeL-RSjkmuqD-Lgf0UKygVd5ylJzqXI_bd4GI1hJCp8FKcDGeqmgBoxFkqhzh6AZh5inFERP88uo9cHvPyk604hyArCqFkv-l1fELO9xgexwPG8w87Uo4q407tj7jJ9Ky5B_-rdQa-dee5wluO4kODeDMDukN2r9tlFOO3tmVGFfYY6nYUIyIkjVsE67iFPh7LNc-LBrLlYEOc71vGBFg9JDpnFkuya7ruB0iA70Br-ygVTym0de0shBM2rsGOqHexQ9YKsYwQ34r0Yk2DMKfdPw6O40GOwiWxQ7tVHvBx2V-349XUZVhxVnlg2nDTY_4y0x6xJuBKbg3XvyHah8EeFkQI3oIJ_DnnF1uV7ptG5ETzxXkE_L-3tCJK_iO13k_wKYnvpeIkKR5HSGSek3mPT4zTBFQGSUifzEp2TC-NbpNpCs3y5UZZo6clJWtAuG-kqR5Fw6RPEBEssw5lhhv_UsnH1ckYNApZYRSLLITrz_cua3TKHRNkRp06TlR3E5_mCESirvWiAOTHRf2Gji6wgRF9MfyL54oJ4qe_jA4Ul7WcWXxzbK1MAxYh9tmpQ-5MgEhVcoAKd1pU6JF-b22tCIjXgWK0wURs9wmdnptY3rAlDfp_Itc3wy4FVZL0iXeJ-Hu_Oj7eWnX0sHSdBOtYVoxm9R5CFQ-pldkVmQZQ28hEs7rRWiaavVtZ4N0STBvLxT80zPOj0D-zS2wVoWhlWhdIF42joLLVoPDFLn8mQ%3D&amp;rank=3&amp;testVersionOverride=Buttercup%2C45803
"The San Luis Resort, Spa & Conference Center",5222 Seawall Blvd," Galveston, TX", 77551,124 rooms,https://www.hotels.com/ho132069/the-san-luis-resort-spa-conference-center-galveston-united-states-of-america/?chkin=2023-01-11&amp;chkout=2023-01-12&amp;x_pwa=1&amp;rfrr=HSR&amp;pwa_ts=1672201450861&amp;referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&amp;useRewards=false&amp;rm1=a2&amp;regionId=1341&amp;destination=Galveston%2C+Texas%2C+United+States+of+America&amp;destType=MARKET&amp;trackingData=AAAAAQAAAAEAAAAQjM7xUoJf5jTuJ4x2do5xIS9rZphnqF5K3NSOdBdFQswukZA5z9SIzLwXuDfwv4AVgp89oIxNEEwU0pfpWdhac6eD3wG9dfAfRfNDWiTVQqdYvs5Mxslux2h-sKXWeDbZfdmVduxvRj6q7zxRWfDCM8Vvv3Hq_dQ2HdO4b-53pNeYxxKeELftzHRlJ83kG-zwUzally42BCF3FEuGvP0f_-LrshwGuyckkcoNYVMqBTA7-oPPpMTz06fQRx10wCj65zsG3drJx0-yJMSUhUMAkN9ElODkBa2Mk1Lo629Smvbcdmri_ew85tMjYo6Y5IeaeRGmYviz9L1qvXcttU9FB8gEBG3eOq9KF6U1xi-adF_C701RsmslDkllZTozy4HbOu5-JOUsyz1Tl2ojNKcUiw3DMHC2kIxZKvuuN43nD80N6ZMPzK-dApJgoftABT_Z12om39aaZISXQP4XxbqsCoUvC1ykriEHvELdUAcXKdwdoDW6NhB8eflGOoEJ0Of5qrjY3SIcYnJAZlW4e7CyCr1iujzM-aOh_7MP76V3admMo14uqFQmqXBBEJECbSiCeJXlcV8aO120e94DnC2grGTfusYKl-aZtQ_FVkcwIF5Sk_WbvT9k03grXDL5A6HQzN_oiNLi3CmXNWVzPs-Tn5CaBfwB5T3ZGYgP_dgeQ5JzrF940i9KuBNVuFZGuPSARMdHYWfIdOXfabO-9GgwbFwS5tdkGJL2bGe1qHAquv4btVh27bFMIjLBiSvkPn3W5U5L-ukRGJAe_UUQ2_1P2c9aKBFyoWSN-7m2h3c2jNRo92lgzs-Gku4I0Gcbz4mR5DQxFYf_jNZqKDn94EJp47VJ3szjFIfFyfI7hYbvID0kXasnB0rxwIb7h3AD0qf9ZRGSs-r99THJNujMPw3lwqTH9FSDXqUmBjWAA74GRLjIHNLUCym47iegyXFtohvpTwfjAEQkqOcTRsGhOcnoO2eW9W4Gv16pTH3wXo-P6sTVD_XFDIAiL3pzuPofTLFw39ZWB6_uClO93ipybOxwB4bUSwTUoAFz8T6_055BPjDbqlYsgRBQidOgQpuNL2VXtFGvp0joZta6gSNs1w9E48rg1llK6v1jJNJDZr2G5AMRXG2iymvnlPQ6b0rD6vQZ2HQqwU22Bsg3HpuPH8vOWb4rkLnu2IK6aeRlV9Jkbs7RvjEi9Y-2Ic3NyECEVU7P8QbVbsGxU3mi5xbW7o0ay-5e9uwJv74r0Bv9Qwt11M7s8ySr3bhU339hclO3HMMci7jZIIABSAa29T5v7RlSVKYobpvMbsJs_BZ9tj4RADemqmeSgPJ1hXjuTDroj9iepr8HVPdiuaK2MhP81Vuq54fqmFKuSrtpNxzSq3SYtW-gM0mCgvos1NKxsOoSwQe1Q3xuNrYKBN1S7GN7EoNh64dQ-ZEXLWvE1Vvg6uK0Y80AVQMF-ZlfLL54gl45ONCe-WinvQ3kl8GnmDLnLaF-tGp3lQml_35iNq04PxooeYfKt_dGQh0_yGJELTNgegabgeThpC7hppGJZgiegZiGcrJbWnYH1Dmg5aihqHQyX5n21GHV3IHASrMBQxvXGfpavSQTTVXHeh8UTA3yDzRRKt-d4V_UzGI0w6tjUWgc66bsJMgnFDUA4T5J62hDiegBy0jPYKViNRjJriRsCEM9G7Z8UMuofp4qKCJD730H3Sllx889V6qjbSCUxoaCiA9ubzg-xrpwYdcYjfUc2SywXZ9u-DyATUVcHEdfchLvIa84CS_ba4ZuP5mlOB3nxSVT8Fm16zUZz2KbDXhma4kU9yOdICs-J6gHXlnr8TPQ84UdvB_ukcHROsa-C4ZFacmeWbMmFYUKtlCQoypUwPo_N9v7kkfXTFgLIm0YELlXFrvqrRaWFw9ywUNRn1SlEFTc8PBW_BiQZTvzNbPEYOCxWHc7FwYVpTgYuy4e9ipwjAJZAAZchOfQgC4RdARJjO-eM7fsYaUr6NqOAEUtJbIpDAY263KocdOo8kM1SCQFouOSgnjfqY4_1tVB2vGh9CsU7-NEKj2AvTmA_zf0VWTEpN8psBMQdo66tYmnvuOd0vO8PiiSz1-KEdoD4GlM8O_W4TwtXgMwpV7x17wWkhwhV5Zvyjs6msnvH6rcaONJ6XFATAamIfYxslfpOu1YJRfRpaQ7yxY2mvBM15wMbHBUt18cA4LjJ7bkJESjomvv0OE0DWQcghMYt0k3jEFIoTCaaU5LCoRoUkUN_7JMjOportY6OTx5gLSBLQUJB_29wQTWG2tMcwI15K0D7dcRw5iyByrg2N4MSCr2sBHG0o2QFVHvVlWQ__dHWguDbkz7e9XieMC8xAf2oYvC-CwfVXJZntRZwx-h8RikU0gn0R9QmAC9-AK_lyHMc94yzCiAejYEDZORCtuzRMJEYCAhrDufv6y9gUN56boLnUlEz1y3sIyH0jKyU-9e21kZiplAnNtDXT8pAtJBLq1vViPXo7IJqlG6wpI4p1vI39JQHgwTsw17aSHtXYO_Bk93sAK8YaYQrtLkwRcX_QYzNiKcesvazAMRNCCf3uo6oWovpWGR591dQ17HV9an55Qgq51nVJE%3D&amp;rank=4&amp;testVersionOverride=Buttercup%2C45803
Galveston Inn & Suites Hotel,7220 Broadway," Galveston, TX", 77554,60 rooms,"https://www.hotels.com/ho591122/galveston-inn-suites-hotel-galveston-united-states-of-america/?chkin=2023-01-11&amp;chkout=2023-01-12&amp;x_pwa=1&amp;rfrr=HSR&amp;pwa_ts=1672201450864&amp;referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&amp;useRewards=false&amp;rm1=a2&amp;regionId=1341&amp;destination=Galveston%2C+Texas%2C+United+States+of+America&amp;destType=MARKET&amp;sort=RECOMMENDED&amp;top_dp=45&amp;top_cur=USD&amp;userIntent=&amp;selectedRoomType=219935623&amp;selectedRatePlan=286148137&amp;expediaPropertyId=15040927"""
"Holiday Inn Express And Suites Galveston Beach, an IHG Hotel",3228 SEAWALL BOULEVARD," Galveston, TX", 77550,134 rooms,"https://www.hotels.com/ho1260303584/holiday-inn-express-and-suites-galveston-beach-an-ihg-hotel-galveston-united-states-of-america/?chkin=2023-01-11&amp;chkout=2023-01-12&amp;x_pwa=1&amp;rfrr=HSR&amp;pwa_ts=1672201450864&amp;referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&amp;useRewards=false&amp;rm1=a2&amp;regionId=1341&amp;destination=Galveston%2C+Texas%2C+United+States+of+America&amp;destType=MARKET&amp;sort=RECOMMENDED&amp;top_dp=84&amp;top_cur=USD&amp;userIntent=&amp;selectedRoomType=314149934&amp;selectedRatePlan=382543274&amp;expediaPropertyId=39353237"""
Scottish Inn and Suites,9002 hwy 6," Hitchcock, TX", 77563,30 rooms,"https://www.hotels.com/ho2497271936/scottish-inn-and-suites-hitchcock-united-states-of-america/?chkin=2023-01-11&amp;chkout=2023-01-12&amp;x_pwa=1&amp;rfrr=HSR&amp;pwa_ts=1672201450864&amp;referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&amp;useRewards=false&amp;rm1=a2&amp;regionId=1341&amp;destination=Galveston%2C+Texas%2C+United+States+of+America&amp;destType=MARKET&amp;sort=RECOMMENDED&amp;top_dp=70&amp;top_cur=USD&amp;userIntent=&amp;selectedRoomType=317341648&amp;selectedRatePlan=386696521&amp;expediaPropertyId=78008498"""
"Moody Gardens Hotel, Spa and Convention Center",7 Hope Blvd," Galveston, TX", 77554,30 rooms,"https://www.hotels.com/ho148454/moody-gardens-hotel-spa-and-convention-center-galveston-united-states-of-america/?chkin=2023-01-11&amp;chkout=2023-01-12&amp;x_pwa=1&amp;rfrr=HSR&amp;pwa_ts=1672201450866&amp;referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&amp;useRewards=false&amp;rm1=a2&amp;regionId=1341&amp;destination=Galveston%2C+Texas%2C+United+States+of+America&amp;destType=MARKET&amp;sort=RECOMMENDED&amp;top_dp=179&amp;top_cur=USD&amp;userIntent=&amp;selectedRoomType=200736564&amp;selectedRatePlan=208046879&amp;expediaPropertyId=157238"""
